Cell_no.	Sw	Sn	k	phi	vol	alpha	n	Swr	Snr	Snr_m	Ss
7397	1.04040404	0	8.61052E-13	0.25	10	0.000230733	2.052971676	0.106173491	0	0.02	0.001
7398	1.04020202	0	1.02044E-14	0.25	10	0.000113197	1.449766632	0.199315446	0	0.02	0.001
7399	1.04	0	1.8852E-11	0.25	1E+30	0.000312518	2.472697675	0.041362859	0	0.02	0.001
7400	1.06	0	8.48827E-13	0.25	1E+30	0.000230355	2.051026922	0.106473784	0	0.02	0.001
7401	1.05979798	0	8.48827E-13	0.25	10	0.000230355	2.051026922	0.106473784	0	0.02	0.001
7402	1.05959596	0	1.90065E-13	0.25	10	0.000190698	1.847504637	0.137900019	0	0.02	0.001
7403	1.059393939	0	1.29768E-12	0.25	10	0.000241603	2.108755792	0.097559767	0	0.02	0.001
7404	1.059191919	0	1.29768E-12	0.25	10	0.000241603	2.108755792	0.097559767	0	0.02	0.001
7405	1.058989899	0	1.3315E-13	0.25	10	0.000181266	1.799103372	0.145373744	0	0.02	0.001
7406	1.058787879	0	3.6936E-13	0.25	10	0.000208304	1.93786369	0.123947518	0	0.02	0.001
7407	1.058585859	0	3.6936E-13	0.25	10	0.000208304	1.93786369	0.123947518	0	0.02	0.001
7408	1.058383838	0	4.1493E-13	0.25	10	0.000211387	1.953685648	0.121504422	0	0.02	0.001
7409	1.058181818	0	1.30478E-12	0.25	10	0.000241748	2.109497681	0.097445211	0	0.02	0.001
7410	1.057979798	0	1.30478E-12	0.25	10	0.000241748	2.109497681	0.097445211	0	0.02	0.001
7411	1.057777778	0	1.29839E-12	0.25	10	0.000241618	2.108830269	0.097548267	0	0.02	0.001
7412	1.057575758	0	6.02262E-13	0.25	10	0.000221261	2.004356703	0.113680215	0	0.02	0.001
7413	1.057373737	0	6.02262E-13	0.25	10	0.000221261	2.004356703	0.113680215	0	0.02	0.001
7414	1.057171717	0	4.26741E-13	0.25	10	0.000212131	1.957502627	0.120915036	0	0.02	0.001
7415	0.556969697	0.5	4.26741E-13	0.25	10	0.000212131	1.957502627	0.120915036	0	0.02	0.001
